Index,Year,Country,UNIT,Indicator,Value
,2007,Bulgaria,"Current prices, million euro",External balance - Goods,"-7,620.50"
,2007,Bulgaria,"Current prices, million euro",External balance - Services,"1,509.80"
,2007,Bulgaria,"Current prices, million euro",Compensation of employees,"10,452.90"
,2007,Bulgaria,"Current prices, million euro",Wages and salaries,"8,844.70"
,2007,Bulgaria,"Current prices, million euro",Employers' social contributions,"1,608.20"
,2007,Bulgaria,"Current prices, million euro","Operating surplus and mixed income, gross","17,249.20"
,2007,Bulgaria,"Current prices, million euro",Taxes on production and imports less subsidies,"4,747.00"
,2007,Bulgaria,"Current prices, million euro",Taxes on production and imports,"5,244.10"
,2007,Bulgaria,"Current prices, million euro",Subsidies,497.1
,2007,Bulgaria,"Current prices, million euro",Taxes less subsidies on products,"4,913.50"
,2007,Bulgaria,"Current prices, million euro",Taxes on products,"5,103.30"
,2007,Bulgaria,"Current prices, million euro",Subsidies on products,189.7
,2007,Bulgaria,"Current prices, million euro",Statistical discrepancy (production approach),0
,2007,Bulgaria,"Current prices, million euro",Statistical discrepancy (expenditure approach),0
,2007,Bulgaria,"Current prices, million euro",Statistical discrepancy (income approach),0
,2007,Bulgaria,"Current prices, million euro",Final consumption expenditure and gross capital formation,"38,559.80"
,2007,Bulgaria,"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","55,556.70"
,2007,Czech Republic,"Current prices, million euro",Gross domestic product at market prices,"138,302.90"
,2007,Czech Republic,"Current prices, million euro","Value added, gross","125,186.00"
,2007,Czech Republic,"Current prices, million euro",Final consumption expenditure,"90,564.40"
,2007,Czech Republic,"Current prices, million euro",Final consumption expenditure of general government,"26,861.40"
,2007,Czech Republic,"Current prices, million euro",Individual consumption expenditure of general government,"13,263.00"
,2007,Czech Republic,"Current prices, million euro",Collective consumption expenditure of general government,"13,598.40"
,2007,Czech Republic,"Current prices, million euro",Household and NPISH final consumption expenditure,"63,703.00"
,2007,Czech Republic,"Current prices, million euro",Final consumption expenditure of households,"62,777.10"
,2007,Czech Republic,"Current prices, million euro",Final consumption expenditure of NPISH,925.9
,2007,Czech Republic,"Current prices, million euro",Actual individual consumption,"76,966.00"
,2007,Czech Republic,"Current prices, million euro",Gross capital formation,"44,356.90"
,2007,Czech Republic,"Current prices, million euro",Gross fixed capital formation,"40,780.10"
,2007,Czech Republic,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,"3,576.80"
,2007,Czech Republic,"Current prices, million euro",Changes in inventories,"3,452.60"
,2007,Czech Republic,"Current prices, million euro",Acquisitions less disposals of valuables,124.1
,2007,Czech Republic,"Current prices, million euro",Exports of goods and services,"91,845.50"
,2007,Czech Republic,"Current prices, million euro",Exports of goods,"77,797.90"
,2007,Czech Republic,"Current prices, million euro",Exports of services,"14,047.60"
,2007,Czech Republic,"Current prices, million euro",Imports of goods and services,"88,463.90"
,2007,Czech Republic,"Current prices, million euro",Imports of goods,"77,424.50"
,2007,Czech Republic,"Current prices, million euro",Imports of services,"11,039.50"
,2007,Czech Republic,"Current prices, million euro",External balance of goods and services,"3,381.50"
,2007,Czech Republic,"Current prices, million euro",External balance - Goods,373.4
,2007,Czech Republic,"Current prices, million euro",External balance - Services,"3,008.10"
,2007,Czech Republic,"Current prices, million euro",Compensation of employees,"54,493.20"
,2007,Czech Republic,"Current prices, million euro",Wages and salaries,"41,063.60"
,2007,Czech Republic,"Current prices, million euro",Employers' social contributions,"13,429.60"
,2007,Czech Republic,"Current prices, million euro","Operating surplus and mixed income, gross","71,650.00"
,2007,Czech Republic,"Current prices, million euro",Taxes on production and imports less subsidies,"12,159.70"
,2007,Czech Republic,"Current prices, million euro",Taxes on production and imports,"14,833.20"
,2007,Czech Republic,"Current prices, million euro",Subsidies,"2,673.50"
,2007,Czech Republic,"Current prices, million euro",Taxes less subsidies on products,"13,116.90"
,2007,Czech Republic,"Current prices, million euro",Taxes on products,"14,245.70"
,2007,Czech Republic,"Current prices, million euro",Subsidies on products,"1,128.80"
,2007,Czech Republic,"Current prices, million euro",Statistical discrepancy (production approach),0
,2007,Czech Republic,"Current prices, million euro",Statistical discrepancy (expenditure approach),0
,2007,Czech Republic,"Current prices, million euro",Statistical discrepancy (income approach),:
,2007,Czech Republic,"Current prices, million euro",Final consumption expenditure and gross capital formation,"134,921.30"
,2007,Czech Republic,"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","226,766.80"
,2007,Denmark,"Current prices, million euro",Gross domestic product at market prices,"233,383.20"
,2007,Denmark,"Current prices, million euro","Value added, gross","197,972.60"
,2007,Denmark,"Current prices, million euro",Final consumption expenditure,"167,627.40"
,2007,Denmark,"Current prices, million euro",Final consumption expenditure of general government,"56,800.80"
,2007,Denmark,"Current prices, million euro",Individual consumption expenditure of general government,"39,279.40"
,2007,Denmark,"Current prices, million euro",Collective consumption expenditure of general government,"17,521.40"
,2007,Denmark,"Current prices, million euro",Household and NPISH final consumption expenditure,"110,826.60"
,2007,Denmark,"Current prices, million euro",Final consumption expenditure of households,"107,491.20"
,2007,Denmark,"Current prices, million euro",Final consumption expenditure of NPISH,"3,335.40"
,2007,Denmark,"Current prices, million euro",Actual individual consumption,"150,106.00"
,2007,Denmark,"Current prices, million euro",Gross capital formation,"58,994.20"
,2007,Denmark,"Current prices, million euro",Gross fixed capital formation,"54,876.40"
,2007,Denmark,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,"4,117.90"
,2007,Denmark,"Current prices, million euro",Changes in inventories,"3,759.80"
,2007,Denmark,"Current prices, million euro",Acquisitions less disposals of valuables,358.1
,2007,Denmark,"Current prices, million euro",Exports of goods and services,"120,151.70"
,2007,Denmark,"Current prices, million euro",Exports of goods,"74,076.50"
,2007,Denmark,"Current prices, million euro",Exports of services,"46,075.20"
,2007,Denmark,"Current prices, million euro",Imports of goods and services,"113,389.90"
,2007,Denmark,"Current prices, million euro",Imports of goods,"72,114.20"
,2007,Denmark,"Current prices, million euro",Imports of services,"41,275.90"
,2007,Denmark,"Current prices, million euro",External balance of goods and services,"6,761.60"
,2007,Denmark,"Current prices, million euro",External balance - Goods,"1,962.30"
,2007,Denmark,"Current prices, million euro",External balance - Services,"4,799.30"
,2007,Denmark,"Current prices, million euro",Compensation of employees,"121,149.80"
,2007,Denmark,"Current prices, million euro",Wages and salaries,"111,424.40"
,2007,Denmark,"Current prices, million euro",Employers' social contributions,"9,725.40"
,2007,Denmark,"Current prices, million euro","Operating surplus and mixed income, gross","76,538.40"
,2007,Denmark,"Current prices, million euro",Taxes on production and imports less subsidies,"35,695.00"
,2007,Denmark,"Current prices, million euro",Taxes on production and imports,"41,218.40"
,2007,Denmark,"Current prices, million euro",Subsidies,"5,523.40"
,2007,Denmark,"Current prices, million euro",Taxes less subsidies on products,"35,410.70"
,2007,Denmark,"Current prices, million euro",Taxes on products,"37,041.80"
,2007,Denmark,"Current prices, million euro",Subsidies on products,"1,631.10"
,2007,Denmark,"Current prices, million euro",Statistical discrepancy (production approach),0
,2007,Denmark,"Current prices, million euro",Statistical discrepancy (expenditure approach),0
,2007,Denmark,"Current prices, million euro",Statistical discrepancy (income approach),0
,2007,Denmark,"Current prices, million euro",Final consumption expenditure and gross capital formation,"226,621.60"
,2007,Denmark,"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","346,773.30"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Gross domestic product at market prices,"2,513,230.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro","Value added, gross","2,261,360.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Final consumption expenditure,"1,824,640.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Final consumption expenditure of general government,"439,740.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Individual consumption expenditure of general government,"276,954.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Collective consumption expenditure of general government,"162,786.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Household and NPISH final consumption expenditure,"1,384,900.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Final consumption expenditure of households,"1,348,896.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Final consumption expenditure of NPISH,"36,004.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Actual individual consumption,"1,661,854.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Gross capital formation,"521,478.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Gross fixed capital formation,"505,571.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,"15,907.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Changes in inventories,"14,930.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Acquisitions less disposals of valuables,977
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Exports of goods and services,"1,080,938.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Exports of goods,"926,779.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Exports of services,"154,159.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Imports of goods and services,"913,826.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Imports of goods,"724,788.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Imports of services,"189,038.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",External balance of goods and services,"167,112.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",External balance - Goods,"201,991.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",External balance - Services,"-34,879.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Compensation of employees,"1,197,070.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Wages and salaries,"968,900.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Employers' social contributions,"228,170.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro","Operating surplus and mixed income, gross","1,072,864.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Taxes on production and imports less subsidies,"243,296.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Taxes on production and imports,"273,605.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Subsidies,"30,309.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Taxes less subsidies on products,"251,870.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Taxes on products,"258,742.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Subsidies on products,"6,872.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Statistical discrepancy (production approach),0
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Statistical discrepancy (expenditure approach),0
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Statistical discrepancy (income approach),0
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Final consumption expenditure and gross capital formation,"2,346,118.00"
,2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","3,427,056.00"
,2007,Estonia,"Current prices, million euro",Gross domestic product at market prices,"16,246.40"
,2007,Estonia,"Current prices, million euro","Value added, gross","14,258.50"
,2007,Estonia,"Current prices, million euro",Final consumption expenditure,"11,270.00"
,2007,Estonia,"Current prices, million euro",Final consumption expenditure of general government,"2,599.90"
,2007,Estonia,"Current prices, million euro",Individual consumption expenditure of general government,"1,444.10"
,2007,Estonia,"Current prices, million euro",Collective consumption expenditure of general government,"1,155.80"
,2007,Estonia,"Current prices, million euro",Household and NPISH final consumption expenditure,"8,670.10"
,2007,Estonia,"Current prices, million euro",Final consumption expenditure of households,"8,490.50"
,2007,Estonia,"Current prices, million euro",Final consumption expenditure of NPISH,179.7
,2007,Estonia,"Current prices, million euro",Actual individual consumption,"10,114.20"
,2007,Estonia,"Current prices, million euro",Gross capital formation,"6,383.60"
,2007,Estonia,"Current prices, million euro",Gross fixed capital formation,"5,941.60"
,2007,Estonia,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,442
,2007,Estonia,"Current prices, million euro",Changes in inventories,439.5
,2007,Estonia,"Current prices, million euro",Acquisitions less disposals of valuables,2.5
,2007,Estonia,"Current prices, million euro",Exports of goods and services,"10,267.00"
,2007,Estonia,"Current prices, million euro",Exports of goods,"6,838.90"
,2007,Estonia,"Current prices, million euro",Exports of services,"3,428.10"
,2007,Estonia,"Current prices, million euro",Imports of goods and services,"11,708.80"
,2007,Estonia,"Current prices, million euro",Imports of goods,"9,393.40"
,2007,Estonia,"Current prices, million euro",Imports of services,"2,315.40"
,2007,Estonia,"Current prices, million euro",External balance of goods and services,"-1,441.80"
,2007,Estonia,"Current prices, million euro",External balance - Goods,"-2,554.50"
,2007,Estonia,"Current prices, million euro",External balance - Services,"1,112.70"
,2007,Estonia,"Current prices, million euro",Compensation of employees,"7,356.00"
,2007,Estonia,"Current prices, million euro",Wages and salaries,"5,560.10"
,2007,Estonia,"Current prices, million euro",Employers' social contributions,"1,795.90"
,2007,Estonia,"Current prices, million euro","Operating surplus and mixed income, gross","6,905.90"
,2007,Estonia,"Current prices, million euro",Taxes on production and imports less subsidies,"1,984.50"
,2007,Estonia,"Current prices, million euro",Taxes on production and imports,"2,203.60"
,2007,Estonia,"Current prices, million euro",Subsidies,219.1
,2007,Estonia,"Current prices, million euro",Taxes less subsidies on products,"1,987.90"
,2007,Estonia,"Current prices, million euro",Taxes on products,"2,072.00"
,2007,Estonia,"Current prices, million euro",Subsidies on products,84.1
,2007,Estonia,"Current prices, million euro",Statistical discrepancy (production approach),0
,2007,Estonia,"Current prices, million euro",Statistical discrepancy (expenditure approach),34.6
,2007,Estonia,"Current prices, million euro",Statistical discrepancy (income approach),0
,2007,Estonia,"Current prices, million euro",Final consumption expenditure and gross capital formation,"17,653.60"
,2007,Estonia,"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","27,920.60"
,2007,Ireland,"Current prices, million euro",Gross domestic product at market prices,"197,201.70"
,2007,Ireland,"Current prices, million euro","Value added, gross","174,612.30"
,2007,Ireland,"Current prices, million euro",Final consumption expenditure,"122,996.90"
,2007,Ireland,"Current prices, million euro",Final consumption expenditure of general government,"33,274.70"
,2007,Ireland,"Current prices, million euro",Individual consumption expenditure of general government,"22,339.40"
,2007,Ireland,"Current prices, million euro",Collective consumption expenditure of general government,"10,935.40"
,2007,Ireland,"Current prices, million euro",Household and NPISH final consumption expenditure,"89,722.10"
,2007,Ireland,"Current prices, million euro",Final consumption expenditure of households,"88,059.90"
,2007,Ireland,"Current prices, million euro",Final consumption expenditure of NPISH,"1,662.20"
,2007,Ireland,"Current prices, million euro",Actual individual consumption,"112,061.50"
,2007,Ireland,"Current prices, million euro",Gross capital formation,"57,639.10"
,2007,Ireland,"Current prices, million euro",Gross fixed capital formation,"56,572.90"
,2007,Ireland,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,"1,066.20"
,2007,Ireland,"Current prices, million euro",Changes in inventories,"1,053.30"
,2007,Ireland,"Current prices, million euro",Acquisitions less disposals of valuables,12.9
,2007,Ireland,"Current prices, million euro",Exports of goods and services,"159,304.60"
,2007,Ireland,"Current prices, million euro",Exports of goods,"99,786.60"
,2007,Ireland,"Current prices, million euro",Exports of services,"59,518.00"
,2007,Ireland,"Current prices, million euro",Imports of goods and services,"142,993.70"
,2007,Ireland,"Current prices, million euro",Imports of goods,"71,088.70"
,2007,Ireland,"Current prices, million euro",Imports of services,"71,905.00"
,2007,Ireland,"Current prices, million euro",External balance of goods and services,"16,310.90"
,2007,Ireland,"Current prices, million euro",External balance - Goods,"28,697.90"
,2007,Ireland,"Current prices, million euro",External balance - Services,"-12,387.00"
,2007,Ireland,"Current prices, million euro",Compensation of employees,"79,302.50"
,2007,Ireland,"Current prices, million euro",Wages and salaries,"73,506.40"
,2007,Ireland,"Current prices, million euro",Employers' social contributions,"5,796.00"
,2007,Ireland,"Current prices, million euro","Operating surplus and mixed income, gross","95,553.50"
,2007,Ireland,"Current prices, million euro",Taxes on production and imports less subsidies,"22,600.70"
,2007,Ireland,"Current prices, million euro",Taxes on production and imports,"26,127.00"
,2007,Ireland,"Current prices, million euro",Subsidies,"3,526.30"
,2007,Ireland,"Current prices, million euro",Taxes less subsidies on products,"22,844.40"
,2007,Ireland,"Current prices, million euro",Taxes on products,"24,032.80"
,2007,Ireland,"Current prices, million euro",Subsidies on products,"1,188.50"
,2007,Ireland,"Current prices, million euro",Statistical discrepancy (production approach),-254.9
,2007,Ireland,"Current prices, million euro",Statistical discrepancy (expenditure approach),254.9
,2007,Ireland,"Current prices, million euro",Statistical discrepancy (income approach),-254.9
,2007,Ireland,"Current prices, million euro",Final consumption expenditure and gross capital formation,"180,636.00"
,2007,Ireland,"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","339,940.50"
,2007,Greece,"Current prices, million euro",Gross domestic product at market prices,"232,694.60"
,2007,Greece,"Current prices, million euro","Value added, gross","205,267.00"
,2007,Greece,"Current prices, million euro",Final consumption expenditure,"198,611.20"
,2007,Greece,"Current prices, million euro",Final consumption expenditure of general government,"47,749.60"
,2007,Greece,"Current prices, million euro",Individual consumption expenditure of general government,"23,637.60"
,2007,Greece,"Current prices, million euro",Collective consumption expenditure of general government,"24,112.00"
,2007,Greece,"Current prices, million euro",Household and NPISH final consumption expenditure,"150,861.60"
,2007,Greece,"Current prices, million euro",Final consumption expenditure of households,"147,078.60"
,2007,Greece,"Current prices, million euro",Final consumption expenditure of NPISH,"3,783.00"
,2007,Greece,"Current prices, million euro",Actual individual consumption,"174,499.20"
,2007,Greece,"Current prices, million euro",Gross capital formation,"63,132.60"
,2007,Greece,"Current prices, million euro",Gross fixed capital formation,"60,528.20"
,2007,Greece,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,"2,604.40"
,2007,Greece,"Current prices, million euro",Changes in inventories,"2,073.20"
,2007,Greece,"Current prices, million euro",Acquisitions less disposals of valuables,531.3
,2007,Greece,"Current prices, million euro",Exports of goods and services,"52,403.50"
,2007,Greece,"Current prices, million euro",Exports of goods,"23,383.70"
,2007,Greece,"Current prices, million euro",Exports of services,"29,019.70"
,2007,Greece,"Current prices, million euro",Imports of goods and services,"81,452.70"
,2007,Greece,"Current prices, million euro",Imports of goods,"66,618.30"
,2007,Greece,"Current prices, million euro",Imports of services,"14,834.40"
,2007,Greece,"Current prices, million euro",External balance of goods and services,"-29,049.20"
,2007,Greece,"Current prices, million euro",External balance - Goods,"-43,234.60"
,2007,Greece,"Current prices, million euro",External balance - Services,"14,185.40"
,2007,Greece,"Current prices, million euro",Compensation of employees,"78,440.90"
,2007,Greece,"Current prices, million euro",Wages and salaries,"61,343.90"
,2007,Greece,"Current prices, million euro",Employers' social contributions,"17,097.00"
,2007,Greece,"Current prices, million euro","Operating surplus and mixed income, gross","128,312.70"
,2007,Greece,"Current prices, million euro",Taxes on production and imports less subsidies,"25,940.90"
,2007,Greece,"Current prices, million euro",Taxes on production and imports,"29,548.10"
,2007,Greece,"Current prices, million euro",Subsidies,"3,607.20"
,2007,Greece,"Current prices, million euro",Taxes less subsidies on products,"27,427.60"
,2007,Greece,"Current prices, million euro",Taxes on products,"28,120.10"
,2007,Greece,"Current prices, million euro",Subsidies on products,692.5
,2007,Greece,"Current prices, million euro",Statistical discrepancy (production approach),:
,2007,Greece,"Current prices, million euro",Statistical discrepancy (expenditure approach),:
,2007,Greece,"Current prices, million euro",Statistical discrepancy (income approach),:
,2007,Greece,"Current prices, million euro",Final consumption expenditure and gross capital formation,"261,743.80"
,2007,Greece,"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","314,147.30"
,2007,Spain,"Current prices, million euro",Gross domestic product at market prices,"1,080,807.00"
,2007,Spain,"Current prices, million euro","Value added, gross","972,855.00"
,2007,Spain,"Current prices, million euro",Final consumption expenditure,"806,882.00"
,2007,Spain,"Current prices, million euro",Final consumption expenditure of general government,"191,042.00"
,2007,Spain,"Current prices, million euro",Individual consumption expenditure of general government,"109,897.00"
,2007,Spain,"Current prices, million euro",Collective consumption expenditure of general government,"81,145.00"
,2007,Spain,"Current prices, million euro",Household and NPISH final consumption expenditure,"615,840.00"
,2007,Spain,"Current prices, million euro",Final consumption expenditure of households,"605,824.00"
,2007,Spain,"Current prices, million euro",Final consumption expenditure of NPISH,"10,016.00"
,2007,Spain,"Current prices, million euro",Actual individual consumption,"725,737.00"
,2007,Spain,"Current prices, million euro",Gross capital formation,"338,676.00"
,2007,Spain,"Current prices, million euro",Gross fixed capital formation,"335,552.00"
,2007,Spain,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,"3,124.00"
,2007,Spain,"Current prices, million euro",Changes in inventories,"3,124.00"
,2007,Spain,"Current prices, million euro",Acquisitions less disposals of valuables,:
,2007,Spain,"Current prices, million euro",Exports of goods and services,"277,851.00"
,2007,Spain,"Current prices, million euro",Exports of goods,"190,498.00"
,2007,Spain,"Current prices, million euro",Exports of services,"87,353.00"
,2007,Spain,"Current prices, million euro",Imports of goods and services,"342,602.00"
,2007,Spain,"Current prices, million euro",Imports of goods,"283,738.00"
,2007,Spain,"Current prices, million euro",Imports of services,"58,864.00"
,2007,Spain,"Current prices, million euro",External balance of goods and services,"-64,751.00"
,2007,Spain,"Current prices, million euro",External balance - Goods,"-93,240.00"
,2007,Spain,"Current prices, million euro",External balance - Services,"28,489.00"
,2007,Spain,"Current prices, million euro",Compensation of employees,"522,556.00"
,2007,Spain,"Current prices, million euro",Wages and salaries,"409,173.00"
,2007,Spain,"Current prices, million euro",Employers' social contributions,"113,383.00"
,2007,Spain,"Current prices, million euro","Operating surplus and mixed income, gross","450,170.00"
,2007,Spain,"Current prices, million euro",Taxes on production and imports less subsidies,"108,081.00"
,2007,Spain,"Current prices, million euro",Taxes on production and imports,"126,352.00"
,2007,Spain,"Current prices, million euro",Subsidies,"18,271.00"
,2007,Spain,"Current prices, million euro",Taxes less subsidies on products,"107,952.00"
,2007,Spain,"Current prices, million euro",Taxes on products,"114,683.00"
,2007,Spain,"Current prices, million euro",Subsidies on products,"6,731.00"
,2007,Spain,"Current prices, million euro",Statistical discrepancy (production approach),0
,2007,Spain,"Current prices, million euro",Statistical discrepancy (expenditure approach),0
,2007,Spain,"Current prices, million euro",Statistical discrepancy (income approach),0
,2007,Spain,"Current prices, million euro",Final consumption expenditure and gross capital formation,"1,145,558.00"
,2007,Spain,"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","1,423,409.00"
,2007,France,"Current prices, million euro",Gross domestic product at market prices,"1,945,670.00"
,2007,France,"Current prices, million euro","Value added, gross","1,746,821.00"
,2007,France,"Current prices, million euro",Final consumption expenditure,"1,501,661.00"
,2007,France,"Current prices, million euro",Final consumption expenditure of general government,"433,253.00"
